,textdata,seq_len,id,case_name,first_party,second_party,winner_label,timeline,decision_type
1225,In 1976 Buckley v Vleo estblsd  $1000 cp  ndvduls' ctrs  cntes  federl fce Mss lw mposes cmpgn ctr lmts rngng  $250  $1000  cntes  stte fce T sttute llows  perodc djustnts whch ncresed t 1998 ctr lmt  $1075  cntes  sttewde fce ncludng stte udt In 1998 Zev Dvd Fredmn  cnte  t Republcn nomnt  Mss stte udt nd t Shrnk Mss Gnnt PAC  poltcl ct commttee fled sut llegng tht t Mss sttute mposng lmts  ctrs  cntes  stte fce volted tr Frst nd Fteenth Andnt rghts T PAC hd ctred $1075  Fredmn nd rgued wth t lmtt t  ctre   Fredmn's cmpgn Addtlly Fredmn lleged   cmpgn effectvely ly wth  generous ctrs T Federl Dstrct Ct pplyng Buckley v Vleo ld t sttute T ct rejected Fredmn's nd t PAC's ctent tht nflt snce Buckley's pprovl   federl $1000 restrct nt tht t stte lmt  $1075   sttewde fce  not  csttutl dy In reversng t Ct  Appels found tht Mss's nterest n vodng t crt  t percept  crt cused  cntes' cceptnce  lrge cmpgn ctrs ws nsuffcent  stsfy Buckley's strct scrutny stndrd  revew,1514,54809,Nixon v. Shrink Missouri Government PAC,Nixon,Shrink Missouri Government PAC,1,1999,majority opinion
1226,"Chpter 2  t Educt Cldt nd Improvent Act  1981 provdes  t lloct  funds  eductl mterls nd eqnt ncludng lbrry mterls nd computer stwre nd hrdwre  publc nd prvte elentry nd secdry schools  mplent ""seculr neutrl nd ndeologcl"" progrms In Jeffers Prsh Lousn b 30%  Chpter 2 funds re llocted  prvte schools   whch re Ctholc  otrwse relgously fflted Mry Helms nd otr publc school prents fle sut llegng tht Chpter 2 s ppled n Jeffers Prsh volted t Frst Andnt's Estblshnt Cluse T Dstrct Ct ntlly greed fndng tht Chpter 2 hd t prmry effect  dvncng relg cuse t mterls nd eqnt led  t Ctholc schools re drect d nd tht t schools re pervsvely sectrn Hover fter t presdng judge  mde t ntl rulng retred t cse ws reved   new judge  reversed tht decs Trefter bsed  dfferent precedent t ct ld Chpter 2 In reversng t Ct  Appels ld Chpter 2 uncsttutl",1171,54810,Mitchell v. Helms,Mitchell,Helms,1,1999,plurality opinion
1227,In 1996 Js Mcl Flppo clled 911  rept tht  nd  wfe hd en ttcked whle cmpng n  West Vrgn stte prk Insde Flppo's cbn fcer's found  wfe wth ftl d wounds Durng tr serch fcers found nd opened  closed brefcse n whch ty dsced vrous phogrphs nd negtves tht llegedly ncrmnted Flppo After  ws ndcted  murder Flppo moved  spress t phogrphs nd negtves  t grounds tht t polce hd obtned no wrrnt nd tht no except  t wrrnt requrent  t Fth Andnt hd justfed t serch nd sezure T Crcut Ct dened t mot  spress  t ground tht t fcers hvng secured t homcde cr scene  nvestgtve purposes hd en wthn t lw  cduct  though nvestgt nd exmnt  nythng nd ethng found wthn t cr scene re On ppel t Sre Ct  Appels  West Vrgn dened dscretry revew,1006,54814,Flippo v. West Virginia,Flippo,West Virginia,1,1999,per curiam
1228,In 1994 Webster Hubll n  ple greent promsed  provde t Independent Counsel wth nmt b mtters reltng  t Whtewter nvestgt Subsequently t Independent Counsel served Hubll wth  subpoen cllng   nmt nd Hubll nvoked  Ffth Andnt prvlege gnst self-ncrmnt nd refused  stte wtr  hd t cunts t Independent Counsel demnded After ng grnted mmunty pursunt  18 USC sect 6003 () Hubll produced t desred cunts T Independent Counsel tn used  cunts  ndct Hubll  tx nd frud chrges T Dstrct Ct dsmssed t ndctnt cuse t evdence tht   used gnst Hubll ws derved etr drectly  ndrectly   mmunzed ct  producng  cunts Vctng tht decs t Ct  Appels drected t Dstrct Ct  determne t scope  t Gnnt's knowledge  Hubll's fnncl ffrs  t dy t subpoen ws ssued T ct determned tht f t Gnnt  not demstrte wth resble prtculrty tht tre exsted  pr wreness  t ctents  t cunts nd tht  cunts re n Hubll's possess tn t ndctnt ws tnted After cknowledgng   not et t stndrd t Independent Counsel entered n  cdtl ple greent provdng  t dsmssl  t ndctnt unless t Sre Ct's dspost  t cse mde t resbly lkely tht Hubll's mmunty  not pose  sgnfcnt br   prosecut,1594,54813,United States v. Hubbell,United States,Hubbell,0,1999,majority opinion
1229,"Whle cckng t mmgrt sttus  pssengers   bus n Texs Bder Ptrol Agent Cesr Cntu squeezed t st luggge whch pssengers hd plced n t d stge spce Wn Agent Cntu squeezed  cnvs bg bove Steven Dewyne Bd Agent Cntu notced tht t ctned  ""brck-lke"" object After Bd dmtted ng t bg nd csented  ts serch Agent Cntu dsced  ""brck""  thmptmne Bd ws ndcted  federl drug chrges Bd moved  spress t drugs rgung tht t gent cducted n llegl serch   bg wn squeezng t n lleged volt  t Federl Csttut's Fth Andnt prohbt gnst unresble sercs nd sezures T Dstrct Ct dened t mot nd subsequently found Bd gulty On ppel Bd cceded tht otr pssengers hd ccess   bg  ctended tht Agent Cntu mnpulted t bg ( squeezng)n  wy tht otr pssengers  not thus csttutng n unresble serch In ffrmng t denl  t mot t Ct  Appels ld tht Agent Cntu's mnpult  t bg ws not  serch  t Fth Andnt",1167,54817,Bond v. United States,Bond,United States,1,1999,majority opinion
1230,"In 1975 nmtes t t Pendlet Crectl Fclty fled  clss ct lwsut whch ultmtely led t Dstrct Ct  ssue n njunct  redy Eghth Andnt volts regrdng cdts  cfnent In 1996 Cgress encted t Prs Ltgt Rem Act  1995 (PLRA) whch sets  stndrd  t entry nd termnt  prospectve relef n cvl cts chllengng prs cdts T PLRA provdes tht  mot  termnte  relef ""shll operte s  sty""  tht relef gnnng 30 dys fter t mot s fled nd endng wn t ct rules  t mot In 1997 t Stte  Indn fled  mot  termnte t redl der gnst t crectl fclty Under t PLRA t mot styed t ct's gnl redl der T prsers  Pendlet moved  enj t opert  t umtc sty rgung tht t umtc sty provs  t PLRA volted due process nd t seprt  pors ctrne T Dstrct Ct enjed t sty In ffrmng t Ct  Appels found tht t provs precluded cts  exercsng tr equtble pors  enj t sty  ccluded tht t sttute ws uncsttutl  seprt  pors grounds",1253,54812,Miller v. French,Miller,French,1,1999,majority opinion
1231,"In 1994 whle enrolled t Vrgn Polytechnc Insttute (Vrgn Tech) Chrsty Brzkl lleged tht An Mrs nd Js Crwd  students nd vrsty footbll plyers t Vrgn Tech rped r In 1995 Brzkl fled  complnt gnst Mrs nd Crwd  Vrgn Tech's Sexul Assult Polcy After  rng Mrs ws found gulty  sexul ssult nd sentenced  mdte suspens  two sesters Crwd ws not punsd A secd rng gn found Mrs gulty After n ppel  t unversty's dmnstrtve system Mrs's punshnt ws set sde s t ws found   ""excessve"" Ultmtely Brzkl dropped   t unversty Brzkl tn sued Mrs Crwd nd Vrgn Tech n Federl Dstrct Ct llegng tht Mrs's nd Crwd's ttck volted 42 USC sect 13981 prt  t Volence Agnst W Act  1994 (VAWA) whch provdes  federl cvl redy  t vctms  gender-motvted volence Mrs nd Crwd moved  dsmss Brzkl's sut  t ground tht sect 13981's cvl redy ws uncsttutl In dsmssng t complnt t Dstrct Ct found tht tht Cgress lcked uthty  enct sect 13981  etr t Comrce Cluse  t Fteenth Andnt whch Cgress hd explctly dentfed s t sces  federl uthty  t Ultmtely t Ct  Appels ffrd",1445,54819,United States v. Morrison,United States,Morrison,0,1999,majority opinion
1232,"Ry Agrd ws tred n New Yk   ssult nd ps counts Ultmtely Agrd's trl turned  wtr t jury leved t testmy  t vctm nd r frend  t cflctng testmy  Agrd T prosecut chllenged Agrd's credblty Durng summt t prosecut remrked ""[h]e gets  st re nd lsten  t testmy  ll t otr wtnesses e  testfes"" nd ""[t]ht gves []  bg dvntge esn't t"" T prosecut lleged tht Agrd hd tled  testmy  ft evdence tht  rd  wtnesses  t cse  t trl T trl ct rejected Agrd's object tht tse comnts volted  rght   present t trl After exhustng  stte ppels Agrd petted  federl hs cpus clmng tht t prosecut's comnts volted  Ffth nd Sxth Andnt rghts   present t trl nd cfrt  ccusers nd  Fteenth Andnt rght  due process T Dstrct Ct dened  pett T Ct  Appels reversed",1050,54820,Portuondo v. Agard,Portuondo,Agard,1,1999,majority opinion
1233,T Interstte Agreent  Detners (IAD) s  cgresslly sncted nterstte compct  estblsh procedures  relut  e stte's stndng chrges gnst  prser  notr stte Under t Compct Cluse t IAD s  federl lw subject  federl cstruct In der  relve stndng murder nd robry chrges gnst Mcl Hll n Oho prser t Stte  New Yk lodged  detner gnst   t IAD Hll fled  request  dspost  t detner pursunt  IAD Artcle III nd ws returned  New Yk Artcle III provdes tht    request tht t prser  br  trl wthn 180 dys Trefter Hll's counsel greed   trl dte sde t 180-dy perod Subsequently Hll moved  dsmss  ndctnt rgung tht t IAD's t lmt hd expred T trl ct dened Hll's mot ccludng tht  defense counsel's explct greent  t trl dte csttuted  wver  bnnnt  Hll's IAD rghts After  cvct nd subsequent ppel t Appellte Dvs  t New Yk Sre Ct ffrd t trl ct's refusl  dsmss In reversng t stte Ct  Appels dered tht Hll's ndctnt  dsmssed cuse  counsel's greent   lter trl dte t ld  not wve  IAD speedy trl rghts,1363,54815,New York v. Hill,New York,Hill,1,1999,majority opinion
1234,"T Age Dscrmnt n Employnt Act  1967 (ADEA) mkes t unlwful   prvte employer "" fl  refuse  hre   dschrge ny ndvdul  otrwse dscrmnte gnst ny ndvdulcuse   ndvdul's ge"" In 1974 Cgress extended t ADEA's substntve requrents  t sttes Frst n 1994 employees  t Unversty  Mtevllo fled sut gnst t unversty  brnch  t Stte  Albm llegng tht t unversty hd dscrmnted gnst tm  t bss  tr ge T federl Dstrct Ct dsmssed t cse bsed  t stte's Eleventh Andnt mmunty T ct determned tht lthough t ADEA ss Cgress' ntent  brogte  stte's Eleventh Andnt mmunty Cgress  not enct  extend t ADEA  ts Fteenth Andnt encent pors T ct tree ld tht t ADEA  not brogte t stte's Eleventh Andnt mmunty Secd n 1995  gro  fculty nd lbrrns  Fld Stte Unversty fled sut gnst t Bd  Regents llegng tht t unversty's fscl cts hd volted t ADEA cuse t cts hd  dsprte mpct  t py  older employees Wn t Fld Bd  Regents moved  dsmss t sut  Eleventh Andnt grounds t Dstrct Ct dened t mot holdng tht Cgress expressed ts ntent  brogte stte Eleventh Andnt mmunty n t ADEA nd tht t ADEA s  proper exercse  cgressl uthty  t Fteenth Andnt Lkewse n 1996  thrd cse nvolvng n employee  t Fld Deprtnt  Crects ws smlrly decded T Ct  Appels n decdng ll three cses ld tht t ADEA es not brogte t sttes' Eleventh Andnt mmunty",1787,54811,Kimel v. Florida Board of Regents,Kimel,Florida Board of Regents,0,1999,majority opinion
1235,"Durng Tom Grnvlle nd Brd Troxel's reltshp whch ended n 1991 ty hd two dughters Untl Brd's sucde n 1993 Brd's prents Jenfer nd Gry Troxel t pternl grndprents hd regulrly seen tr grnddughters  ekends Hover fter Brd's sucde Grnvlle nd t Troxels tht s wsd  reduced tr vstt t  e sht vst per mth T Troxels fled sut  t rght  vst tr grndchldren  sect 2610160(3)  t Revsed Code  Wshngt whch permts ""ny pers""  pett  vstt rghts ""t ny t"" nd uthzes stte ser cts  grnt  rghts wnever vstt  serve  chld's st nterest Grnvlle  not oppose t pett rght   oppose t mount  vstt t s  t Troxels Subsequently  Wshngt Ser Ct dered  vstt thn Grnvlle desred On ppel t Wshngt Ct  Appels reversed tht decs holdng tht n-prents lcked stndng  sue  t sttute In ffrmng t Wshngt Sre Ct ruled tht t sttute uncsttutlly nterfered wth prents' rght  rer tr chldren",1195,54816,Troxel v. Granville,Troxel,Granville,0,1999,plurality opinion
1236,"T Deprtnt  Trnsptt  t Ntl Trffc nd Mot Vehcle Sfety Act  1966 (Act) promulgted Federl Mot Vehcle Sfety Stndrd (FMVSS) 208 whch requred u mnufcturers  eq   tr 1987 vehcles wth pssve restrnts To comply wth FMVSS 208 Hd nstlled mnul set lts nd  wrnng lght nsted   drver-sde rbg  t 1987 Hd Accd Alexs Geer suffered severe d nd fcl njures n n ccdent whle drvng  1987 Hd Accd tht  not hve  drver-sde rbg Geer nd r prents s dmges  Dstrct  Columb tt lw clmng tht Arcn Hd Mot Compny ws neglgent n not eqng t Accd wth  drver's sde rbg T Dstrct Ct ruled n fv  Hd fndng tht Geer's clms re expressly pre-empted  t Act cuse  jury verdct n Geer's fv ""mght estblsh  sfety stndrd tht ws not dentcl  Stndrd 208"" In ffrmng t Ct  Appels ccluded tht cuse Geer's stte tt clms posed n obstcle  t ccomplshnt  t objectves  FMVSS 208  clms cflcted wth tht stndrd nd tht t Act csequently pre-empted t lwsut",1221,54818,"Geier v. American Honda Motor Company, Inc.",Geier,"American Honda Motor Company, Inc.",0,1999,majority opinion
1237,T Sentencng Rem Act  1984 replced  ms  prole wth servsed relese If relese cdts re volted t sentencng ct  revoke t relese nd der t volt  serve prt  ll  t relese term n prs wth credt  t prevously served  relese In 1994 Cnell Johns ws cvcted  csprng  produce nd use counterfet credt crds Johns ws sentenced  mprsnt follod   term  servsed relese Whle  servsed relese Johns volted ts terms Subsequently t Dstrct Ct revoked Johns's relese nd dered   serve n 18-mth prs term   follod  n ddtl 12 mths  servsed relese T ct cted no uthty  derng t new servsed relese T ct  hve cted  subsect dded  t Act n 1994 18 USC sect 3583(h) whch explctly gve t t uthty  dd t new term; ever Cgress mde t ndnt fter Johns's cvct On ppel Johns rgued tht t pplct  t federl lw estblsd fter  cvct volted t Ex Post Fc Cluse  t Csttut T Ct  Appels ffrd t Dstrct Ct's decs,1212,54821,Johnson v. United States,Johnson,United States,0,1999,majority opinion
1238,"Sect 406()  t Employee Retrent Inco Securty Act  1974 (ERISA) brs  fducry  n employee neft pln  cusng t pln  engge n certn prohbted trnscts wth  ""prty n nterest"" Such  prty encompsses enttes tht  fducry mght  nclned  fv t t expense  t pln's nefcres After t Artech Pens Trust (APT) n ERISA pens pln llegedly entered n  trnsct prohbted  ERISA wth Slom Smth Brney Inc APT's fducres sued Slom  sect 502()(3) whch uthzes  fducry  brng  cvl ct  obtn pproprte equtble relef"" Slom rgung tht sect 502()(3) ly uthzes  sut gnst t fducry  cused t pln  enter t prohbted trnsct Ultmtely t Dstrct Ct ld tht ERISA provdes  prvte cuse  ct gnst nfducres  prtcpte n  prohbted trnsct In reversng t Ct  Appels ld tht t uthty  sue  sect 502()(3) es not extend   sut gnst  nfducry ""prty n nterest""   trnsct brred  sect 406()",1143,54822,"Harris Trust & Savings Bank v. Salomon Smith Barney, Inc.",Harris Trust & Savings Bank,"Salomon Smith Barney, Inc.",1,1999,majority opinion
1239,Hen House Interstte Inc fled  regnzt  Chpter 11  t Bnkrtcy Code Durng t regnzt ttempt Hen House obtned wkers' compenst nsurnce  Hrtd Underwrters Insurnce Compny Hen House repetedly fled  mke t mthly premum pynts requred  t polcy Ultmtely Hen House's regnzt fled nd t ct cverted t cse   Chpter 7 lqudt proceedng nd ppted  trustee Hrtd lernng  t bnkrtcy proceedngs s  rec ts premums s n dmnstrtve expense Recognzng tht t estte lcked unencumred funds  py t premums Hrtd ttempted  chrge t premums  Un Plnters Bnk t secured credt  ll  t property  Hen House  flng  clm wth t Bnkrtcy Ct  11 USC Sect 506(c) T Bnkrtcy Ct ruled n fv  Hrtd nd t rulng ws ffrd  t Ct  Appels Hover t Ct  Appels grnted  rerng en bnc nd reversed  t ground tht n dmnstrtve clmnt  not nvoke sect 506(c),1099,54823,"Hartford Underwriters Ins. Company v. Union Planters Bank, N.A.",Hartford Underwriters Ins. Company,"Union Planters Bank, N.A.",0,1999,majority opinion
1240,Pro se petter John B Dempsey s leve  proceed n m pers n t US Sre Ct  Rule 39 wth respect   pett  certr In Oct 1992 t Ct hd nvoked Rule 398  deny Dempsey n m pers sttus wth respect   pett  certr Bee t 398 denl Dempsey hd fled eleven petts  certr nd e pett  n extrdnry wrt After t 398 denl Dempsey fled fve petts  certr All eghteen  Dempsey's prevous petts re deed frvolous  t Ct nd dened wth recded dssent,601,54826,Dempsey v. Martin,Dempsey,Martin,0,1999,per curiam
1241,"Lne Weeks Jr ws found gulty  cptl murder n t deth  Vrgn Stte Trooper Jose Cvzos Durng t penlty phse   trl t prosecut s  prove two ggrvtng crcumstnces Weeks' defense presented 10 wtnesses n mtgt Durng delrts t jurs sent t trl judge  note skng wtr f ty leved Weeks gulty  t lest e  t ggrvtng crcumstnces t ws tr duty  ssue t deth penlty  wtr ty must decde wtr  ssue t deth penlty   lfe sentence In respdng t trl judge ly referred t jury  tr nstructs whch stted: ""If  fnd  t evdence tht t Commlth hs proved yd  resble ubt etr  t two [ggrvtng crcumstnces] nd s  tht lterntve  re unnmous tn   fx t punshntt deth  f  leve  ll t evdence tht t deth penlty s not justfed tn  shll fx t punshntt lfe mprsnt"" T defense counsel objected rgung  t judge  nstruct t jury t  fnd e    t ggrvtng crcumstnces nd stll mpose  lfe sentence In fndng e  t ggrvtng crcumstnces nd fter csderng t evdence n mtgt t jury returned  unnmous verdct fxng Weeks' punshnt t deth On ppel  t Vrgn Sre Ct Weeks' presented 47 ssgnnts  err  whch  ssgnnt  err respectng t judge's nsrng t jury's quest b mtgtng crcumstnces ws numr 44 T ct ffrd Weeks' cvct nd sentence Weeks' pett  federl hs relef ws ultmtely dened",1684,54825,Weeks v. Angelone,Weeks,Angelone,0,1999,majority opinion
1242,In 1952 Arz nvoked t US Sre Ct's gnl jursdct  relve  dspute wth Cln  t extent  ech stte's rght  use wter  t Col Rver T Unted Sttes ntervened seekng wter rghts  hlf  fve Indn reservts Culmntng n Arz I t Ct ld tht t Unted Sttes hd reserved wter rghts  t fve reservts In  1964 decree t Ct specfed t wter enttlents  t prtes nd t reservts  ld tht t wter rghts  t reservts   subject  djustnt n t event tht t reservts' dsputed boundres re fnlly determned Trefter n Arz II t Ct ccluded tht t reservts' boundres hd yet   determned Ultmtely t Quechn Tr (Tr)  t Ft Yum Indn Reservt nd t Unted Sttes entered n greent returnng lnd encompssng  25000 cres  dsputed boundry lnds not ttred  tht reservt n erler ltgt In 1983 t Ct  Clms csented  t settlent T Tr nd t Unted Sttes tn fled clms seekng ncresed wter rghts  t Ft Yum Reservt In 1989 t Ct grnted t mot  Arz Cln nd two muncpl wter dstrcts (Stte prtes)  reopen t 1964 decree  determne wtr t Ft Yum Reservt ws enttled  clm ddtl boundry lnds nd f  ddtl wter rghts T Stte prtes sserted tht t Ft Yum clms  t Tr nd t Unted Sttes re precluded  Arz I nd  t Clms Ct csent judgnt,1614,54829,Arizona v. California,Arizona,California,1,2000,majority opinion
1243,"T Orgnc Act  Gum provdes tht tht ""f no [slte ] cntes [ G nd Leutennt G  Gum] receves  mjty  t votes cst n ny elect runf elect shll  ld"" T Elect Commss certfed tht t Democrtc slte  Crl TC Guterrez  g nd Mdelene Z Bdllo  leutennt g hd defeted t Republcn slte Joseph F Ad nd Felx P Cmcho Guterrez nd Bdllo hd receved  mjty  t votes cst  gurntl sltes n t 1998 Gum generl elect   not receve  mjty  t tl numr  bllots tht voters cst due  voters selectng wrte-n cntes people votng   sltes nd blnk bllots T opposng Republcn slte s  wrt  mndmus derng  runf elect Accdng  Ad nd Cmcho t phrse ""n ny elect"" ns t mjty s sured  t votes cst n t entre elect not smply n t rce  g Guterrez respded tht ""votes cst"" nt ctul votes cst  g nd leutennt g rtr thn bllots n whch t g's ctest s left blnk T Dstrct Ct ssued t wrt nd t Ct  Appels ultmtely ffrd nterpretng t sttuty phrse ""mjty  t votes cst n ny elect""  requre tht  slte receve  mjty  t tl numr  bllots cst n t generl elect",1416,54824,Gutierrez v. Ada,Gutierrez,Ada,1,1999,majority opinion
1244,Rt Crpenter ws ndcted  chrges  ggrvted murder nd ggrvted robry pleded gulty nd sentenced  lfe mprsnt wth prole possble fter 30 yers On drect ppel Crpenter unsuccessfully chllenged ly t length  t mnmum sentence After unsuccessfully pursung stte post-cvct relef nd represented  new counsel Crpenter petted t Oho Ct  Appels  reopen  drect ppel  t ground tht  gnl ppellte counsel hd en csttutlly neffectve n flng  chllenge t suffcency  t evdence sptng  cvct nd sentence T ct dsmssed t pplct s untly nd t Oho Sre Ct ffrd Crpenter tn fled  federl hs cpus pett rsng t suffcency--t-evdence clm nd llegng tht  ppellte counsel ws csttutlly neffectve n not rsng tht clm  drect ppel T Dstrct Ct determned tht whle t suffcency clm hd en procedurlly defulted t neffectve-ssstnce--counsel clm  excuse tht defult; ccluded tht Crpenter's ppellte counsel ws csttutlly neffectve; nd grnted t wrt T Ct  Appels ccluded tht t neffectve-ssstnce--counsel clm  serve s cuse  excuse t procedurl defult  t suffcency clm regrdless  wtr t neffectve-ssstnce--counsel clm hd en procedurlly defulted; nd found prejudce  counsel's flure  rse t suffcency--t-evdence clm  drect ppel,1568,54827,Edwards v. Carpenter,Edwards,Carpenter,1,1999,majority opinion
1245,Roy Lee Johns hd en servng t n federl prs  multple drug nd frerms feles wn two   cvcts re declred nvld T Dstrct Ct dered  mdte relese Johns's 3-yer term  servsed relese tht ws yet   served  t remnng cvcts tn nt n effect As  result  servng t  t two nvld cvcts Johns hd served 25 yers' o much prs t After  relese Johns fled  mot  credt t excess two nd e-hlf yers  ws erreously ncrcerted wrd  three-yer servsed relese sentence T Dstrct Ct dened relef explnng tht t servsed relese comnced  Johns's ctul relese  ncrcert not e In reversng t Ct  Appels ccepted Johns's rgunt tht  servsed relese term comnced not  t dy  left prs  wn  lwful term  mprsnt expred,940,54828,United States v. Johnson,United States,Johnson,1,1999,majority opinion
1246,Frncos Dnel Lesge n Afrcn mmgrnt  Cucsn descent ws dened dmss  t Unversty  Texs PhD progrm n counselng psychology  t 1996-1997 cdemc yer Subsequently Lesge fled sut llegng tht  estblshng nd mntnng  rce-cscous dmsss process t unversty hd volted t Equl Protect Cluse  t Fteenth Andnt nd vrous federl cvl rghts sttutes T unversty  not dspute tht t csdered t rce  ts pplcnts t  stge  t revew process T unversty rgued tht Lesge ws unqulfed  dmss Grntng t unversty summry judgnt t Dstrct Ct ccluded tht csderts  rce hd no effect  t Lesge's reject In reversng t Ct  Appels ld tht summry judgnt ws npproprte cuse tre remned  fctul dspute s  wtr t stge  revew  whch Lesge's pplct ws elmnted ws n  wy rce cscous,995,54830,Texas v. Lesage,Texas,Lesage,0,1999,per curiam
1247,"After  stte gency dened Jutss Sms' pplct  Socl Securty dsblty nd Splentl Securty Inco nefts s obtned  rng e  Socl Securty Admnstrtve Lw Judge (ALJ) T ALJ l dened Sms' clms ccludng tht lthough s  hve  dcl mprnts s hd not en nd ws not   ""dsblty"" Sms tn s revew  t Socl Securty Appels Councl whch dened revew S next fled sut n t Federl Dstrct Ct ctendng tht t ALJ erred n three wys  mkng selectve use  t recd  posng defectve quests   voctl expert nd  flng  der  csulttve exmnt T Dstrct Ct rejected r ctents In ffrmng t Ct  Appels ccludng tht t lcked jursdct  two  t ctents cuse ty re not ncluded n Sms' request  revew  t Appels Councl",921,54831,Sims v. Apfel,Sims,Apfel,1,1999,majority opinion
1248,"In t ftermth  t Exx Vldez ol spll t Stte  Wshngt creted t Offce  Mrne Sfety whch ws drected  estblsh stndrds  provde t ""st chevble protect"" (BAP)  ol spll dmge T gency promulgted tnker desgn eqnt reptng nd opertng requrents T Interntl Asct  Independent Tnker Owners (Intertnko)  trde sct  tnker operts fled sut gnst t stte nd locl fcls respsble  encng t BAP regults Intertnko rgued tht Wshngt's BAP stndrds hd entered n re occed  t federl gnnt nd mposed unque requrents n n re wre ntl unmty ws mndted Furtr Intertnko rgued tht f e poltcl subdvs re  promulgte  mrt regults t gol  ntl gnnts  develop effectve nterntl envrntl nd sfety   mned T Dstrct Ct ld Wshngt's regults Trefter t Federl Gnnt ntervened  Intertnko's hlf ctendng tht t Dstrct Ct's rulng fled  gve suffcent ght  t substntl egn ffrs nterests  t Federl Gnnt T Ct  Appels ffrd",1242,54833,United States v. Locke,United States,Locke,1,1999,majority opinion
1249,Al Mrtnez-Slzr ws chrged wth  vrety  federl nrcotcs nd ps fenses T Dstrct Ct llotted  10 perempty chllenges exercsble n t select  12 jurs After prospectve jur D Glrt ndcted severl ts tht   fv t prosecut Mrtnez- Slzr's counsel chllenged   cuse T ct declned  excuse Glrt After twce objectng unsuccessfully  t -cuse rulng Mrtnez-Slzr used  perempty chllenge  remove  Subsequently Mrtnez-Slzr exhusted ll   perempty chllenges Trefter Mrtnez-Slzr's counsel  not object  t fnl setng  t jurs Mrtnez-Slzr ws tn cvcted  ll counts On ppel Mrtnez-Slzr rgued tht t Dstrct Ct bused ts dscret n refusng  strke Glrt  cuse nd tht t err used e   perempty chllenges wrgly T Ct  Appels greed tht t Dstrct Ct's refusl  strke Glrt  cuse ws n buse  dscret Ultmtely t ct found tht t Dstrct Ct's err resulted n  volt  Mrtnez- Slzr's Ffth Andnt due process rghts cuse t ced   use  perempty chllenge curtvely whch mpred  rght   full complent  perempty chllenges T Ct  Appels ld tht t err requred n umtc reversl,1385,54836,United States  v. Martinez-Salazar,United States,Martinez-Salazar,1,1999,majority opinion
1250,T Fr Lb Stndrds Act  1938 (FLSA) permts gnntl enttes  compenste tr employees  t wk  grntng tm compensty t n leu  csh pynt If t employees  not use tr ccumulted compensty t t employer must py csh compenst  certn crcumstnces Hrrs County Texs found tht o mny  ts deputy srffs hd o mny hs  ccrued compensty t Ferng  budget crss t county pted  polcy  whch ts employees   dered  scdule compensty t t specfed ts n der  reduce t mount  ccrued t tht  otrwse requre csh pynt Edwrd Chrstensen nd 128 otr deputy srffs n Hrrs County leved ty hd t rght  use tr compensty t wn ty sw ft T srffs sued clmng tht t FLSA es not permt n employer  compel n employee  use compensty t n t bsence  n greent permttng t employer    T Dstrct Ct ruled n fv  t srffs ccludng tht t polcy volted t FLSA In reversng t Ct  Appels ld tht t FLSA  not ddress t ssue n quest nd thus  not prohbt t county  mplentng  compensty t polcy,1269,54834,Christensen v. Harris County,Christensen,Harris County,0,1999,majority opinion
1251,"In 1996 t Msschusetts Burm Lw whch restrcted stte enttes  buyng goods  servces  compnes ng busness wth Burm ws pssed Afterwrds Cgress l mposed mndty nd cdtl sncts  Burm Busnesses wth tes  Burm lnded  Msschusetts' ""restrcted trde"" lst T lst c  nclude 34 mrs  t Ntl Fegn Trde Councl (Councl)  n-prt dvocte  Arcn compnes tht  busness brod T Councl fled sut gnst Stepn Cros t Msschusetts Secretry  Admnstrt nd Fnnce nd otr stte fcls n federl ct clmng tht t stte ct uncsttutlly nfrnges  t federl egn ffrs por voltes t Fegn Comrce Cluse nd s preempted  t Federl Burm Lw T Dstrct Ct permnently enjed t stte ct's encent nd t Ct  Appels ffrd T ct l found tht t Msschusetts Burm Lw volted t Sremcy Cluse cuse t stte ws ctng n n re  unque federl ccern egn polcy   blnced tled pproch",1112,54835,Crosby v. National Foreign Trade Council,Crosby,National Foreign Trade Council,0,1999,majority opinion
1252,"Mcl Wyne Wllms ws sentenced  deth fter  ws cvcted  two cptl murders Ultmtely Wllms s federl hs relef n whch  requested n evdentry rng  three csttutl clms regrdng t frness   trl whch  hd tred unsuccessfully  develop n t stte-ct proceedngs T Dstrct Ct grnted Wllms' evdentry rng Hover e ny rng   ld t Ct  Appels grnted t Commlth's requests  n ergency sty nd   wrt  mndmus nd prohbt T Commlth rgued tht Wllms' evdentry rng ws prohbted  federl lw s nded  t Antterrsm nd Effectve Deth Penlty Act  1996 (AEDPA) On remnd t Dstrct Ct dsmssed Wllms' pett ctng t AEDPA sttute nd fndng tht Wllms fled  s ""ctul nnocence"" In ffrmng t Ct  Appels found tht Wllms  not stsfy t sttute's cdts  excusng  flure  develop t fcts   clms nd brred   recevng n evdentry rng",1093,54837,Williams v. Taylor,Williams,Taylor,1,1999,majority opinion
